######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,ブレイス・ストーン
cut.punish.gov.engine,いくつか適当にエンジンの部品を外して捨ててやる
cut.punish.gov.gears,ギアボックスのフルードを{0}に入れ替えてギアを駄目にしてやる
cut.punish.gov.grip,整備士に依頼して、タイヤに{0}を塗ったくってグリップを狂わせてやる
cut.punish.gov.none,悪いようにはしない

# Punishments told by other racer. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
cut.punish.racer.cash.1,TSLA株で${0}分のヤバい空売りをしてもらうからな！ 覚悟しとけ！
cut.punish.racer.cash.2,${0}を払え
cut.punish.racer.cash.3,${0}か、そのイケてるカシオの腕時計をよこせ
cut.punish.racer.cash.4,マシンから${0}分の燃料を抜いてやる
cut.punish.racer.cash.5,新作のソシャゲで500ジェム買ってもらうぞ。75％オフでたった${0}だ
# "Lionard 125" should not be translated, it's a model name of cheapest car in the game
cut.punish.racer.car,マシンの買い替えに手を貸してもらうぞ。こちとらポンコツの Lionard 125 だ。地元のジャンク屋がやたら欲しがってる
cut.punish.racer.pts,ハッカーのツレがいる。お前のスコアから{0}ポイントを消してやるぞ
cut.punish.racer.rnd,お楽しみタイムだ。マシンかお前のどっちかを最悪な目に遭わせてやる
cut.punish.racer.aero,ラジエータグリルに{0}突っ込んで、お前のマシンの空力性能を下げてやる
cut.punish.racer.turbo,ターボに{0}ぶち込んでやる
cut.punish.racer.engine,エンジンに{0}を詰め込んでやる
cut.punish.racer.gears,ギアのフルードを{0}に入れ替えてギアボックスをダメにしてやる
cut.punish.racer.grip,タイヤに{0}タップリ塗って、グリップをイカレさせてやる
cut.punish.racer.none,今回は悪いことは何もねえぞ

### Shield mission cutscene

cut.shield.req,バリアだ。予備バッテリーもマケてやる。礼は今度でいいぞ。
cut.shield.intro.1,今シーズンでの結果がイマイチのようだな。次のレースで少し手を貸してやろう。
# {0} will be a plural insult
cut.shield.intro.2,他の{0}にずっとボコボコにされてるようだな。これで少しはマシになるだろう。

cut.shield.descr,バリアを装備した状態でレースを完走しろ
cut.shield.tip,ニュートンの第3法則を思い出そう

### Make car come last 

# {0} - clown
cut.finlast.req,武器を用意し、標的のマシンをHUDに表示してやる。その{0}にツケを払わせろ！

# {0} - player name, {1} - vegan burger
cut.finlast.racer.intro.1,なあ、{0}！ 頼みを聞いてくれよ！ 昨夜、どっかの誰かさんがマシンの排気管に{1}を突っ込みやがった。仕返ししてやりたいんだ！
# {0} - player name, {1} - vegan olive oil
cut.finlast.racer.intro.2,{0}、ちょっといいか。手を貸してくれよ。アイツ、俺のハンドルに{1}をベタベタ塗りやがったんだ。復讐したい！

# {0} - vegan olive oil
cut.finlast.gov.intro.1,信じられるか？ 貴様のお仲間のイカレ野郎が、昨晩オフィスに忍び込んでキーボードに{0}を塗りたくりやがった！ SOFACTにケンカ売ったらどうなるか思い知らせてやろう。
# {0} - clown
cut.finlast.gov.intro.2,おい、癇に障る{0}が1人いる。そいつに生き地獄を見せてやる。

cut.finlast.tip,標的のマシンが表示されます

# {0} - name, {1} - position number
cut.finlast.descr,{0}を{1}位以下でゴールさせろ

### Assassinate mission cutscene (the most complex one)

# {0} is a singular noun defining a person
# {1} is part of sentence telling what the person did
# {2} is the second part telling what the person did
# {3} is the third part with circumstances
cut.ass.beg1.1,{0}が{2}{1}。{3}
cut.ass.beg1.2,どう説明しろってんだ...{0}が{2}{1}。{3}
cut.ass.beg1.3,ぶっちゃけると{0}が{2}{1}。{3}

# Same as beg1, but for 2 people
cut.ass.beg2.1,{0}が{2}{1}。{3}
cut.ass.beg2.2,どう説明しろってんだ...{0}が{2}{1}。{3}

# Same as beg1 & beg2, but for 3+ people
cut.ass.beg3.1,{0}が{2}{1}。{3}
cut.ass.beg3.2,どう説明しろってんだ...{0}が{2}{1}。{3}

# Endings for singular target
cut.ass.end1.1,レース開始後、車載コンピュータで奴の居場所の詳細を知らせる
# {0} - singular insult (i.e. clown)
cut.ass.end1.2,その{0}を始末してくれ、いいな？
cut.ass.end1.3,そいつにお前のマシンの下回りを味わわせてやれ
cut.ass.end1.4,奴を *ぐしゃっ* と、やれ。いいな？
cut.ass.end1.5,空高く舞いあげろ
# {0} - singular insult (i.e. clown)
cut.ass.end1.6,その{0}を病院送りにしろ
cut.ass.end1.7,ボンネットの無料ツアーに招待するんだ
cut.ass.end1.8,言いたいことは分かったか？

# Endings for two targets
cut.ass.end2.1,レース開始後、車載コンピュータで奴らの居場所の詳細を知らせる
# {0} - plural insult (i.e. clowns)
cut.ass.end2.2,その2人の{0}を始末しろ。いいな？
cut.ass.end2.3,そいつらにお前のマシンの下回りを味わわせてやれ
cut.ass.end2.4,奴らを *ぐしゃっ* と、やれ。いいな？
cut.ass.end2.5,奴らを空高く舞いあげろ
# {0} - curse adjective (i.e. friggin stretcher)
cut.ass.end2.6,{0}両方を病院送りにしろ
cut.ass.end2.7,奴らをボンネットの無料ツアーに招待だ

# Endings for three+ targets
# end3.1 is used as end2.1
# {0} - plural insult (i.e. clowns)
cut.ass.end3.2,その{0}を全員をまとめて始末しろ。いいな？
# {0} - plural insult (i.e. clowns)
cut.ass.end3.3,奴らを探し出して、その{0}どもにお前の車の下回りを味わわせてやってくれ
# {0} - plural insult (i.e. clowns)
cut.ass.end3.4,その{0}、全員まとめて *ぐしゃっ* とやれ。いいな？
# end3.5 is used as end2.5
# {0} - plural insult (clowns) {1} - curse adjective (i.e. friggin stretcher)
cut.ass.end3.6,その{0}全員を{1}病院送りにしろ
# {0} - plural insult (i.e. clowns)
cut.ass.end3.7,その{0}全員、ボンネットの無料ツアーに招待してやれ

# Mid sentences for 1 target
# {0} is some randomized person name
cut.ass.mid1.1,{0}。奴の名だ。
# {0} is some randomized person name (repeated twice in this sentence), {1} - curse adjective
# Example: John Smith. Friggin John Smith.
cut.ass.mid1.2,{0}だ。{1}{0}だ。
cut.ass.mid1.3,{0}だ。
# {1} will be insult singular, i.e. clown
cut.ass.mid1.4,{1}野郎を特定した。{0}だ。
# {1} will be insult singular, i.e. clown
cut.ass.mid1.5,{0}だ。あの{1}はまったくけしからん。

# Mid sentences for 2+ targets
# {0} will be plural insult (clowns), {1} will be a curse adjective (friggin)
cut.ass.mid2.1,あの{1}{0}が誰かは把握している。
# {0} will be plural insult (clowns), {1} will be a curse adjective (friggin)
cut.ass.mid2.2,あの{1}{0}め。
cut.ass.mid2.3,{0}が！
# {0} will be plural insult (clowns)
cut.ass.mid2.4,{0}を始末しろ！
# {1} will be insult plural, i.e. clowns
cut.ass.mid2.5,{0}だ。あの{1}はまったくけしからん。

# These cannot be deleted, if you can't come up with something unique, just repeat some 
# Singular forms
cut.ass.target1.1,意識高い系
cut.ass.target1.2,マヌケ野郎
cut.ass.target1.3,イカレ野郎
cut.ass.target1.4,配信者
cut.ass.target1.5,クリエイター
cut.ass.target1.6,YouTuber
cut.ass.target1.7,インフルエンサー
cut.ass.target1.8,ブローカー
cut.ass.target1.9,ウソつき野郎
cut.ass.target1.10,反SOFACT
cut.ass.target1.11,ジャーナリスト
cut.ass.target1.12,反逆者
cut.ass.target1.13,女性差別主義者

# These cannot be deleted, if you can't come up with something unique, just repeat some 
# Plural forms
cut.ass.target2.1,意識高い系ども
cut.ass.target2.2,マヌケ野郎ども
cut.ass.target2.3,イカレ野郎ども
cut.ass.target2.4,配信者ども
cut.ass.target2.5,クリエイターども
cut.ass.target2.6,YouTuberども
cut.ass.target2.7,インフルエンサーども
cut.ass.target2.8,ブローカーども
cut.ass.target2.9,ウソつき野郎ども
cut.ass.target2.10,反SOFACTども
cut.ass.target2.11,ジャーナリストども
cut.ass.target2.12,反逆者ども
cut.ass.target2.13,女性差別主義者ども

# Full sentence will look like: Somebody [messed with] somebody
cut.ass.did.1,に手を出してきた
cut.ass.did.2,にナメたマネをした
cut.ass.did.3,をコケにしてきた
cut.ass.did.4,を盗撮した
# If in your language "messed with me" and "stole from me" have different ways of saying, 
# just create something that will look like ones above instead!
cut.ass.did.5,からブツを盗んだ

# Full sentence will look like: Somebody did something with [me]
# part from above will be used, try to make them compatible
cut.ass.harmed.1,俺
cut.ass.harmed.2,貴様は知る必要のない奴
cut.ass.harmed.3,重要人物
cut.ass.harmed.4,SOFACTの代表
cut.ass.harmed.5,取締役
cut.ass.harmed.6,SOFACT
cut.ass.harmed.7,俺ちゃん
cut.ass.harmed.8,俺のダチ
cut.ass.harmed.9,親友
cut.ass.harmed.10,知り合い
cut.ass.harmed.11,マズい奴
cut.ass.harmed.12,マズい奴ら
cut.ass.harmed.13,我々が提携するSNSインフルエンサー

# Additional circumstance for singular target. Will be attached to the end of sentence.
cut.ass.andwhat1.1,そして、逃げ切れると思ってやがった。
cut.ass.andwhat1.2,その上、奴が何をやらかしたか聞け、とんでもねえぞ！
cut.ass.andwhat1.3,しかも情報漏洩もしていた...まあ、機密情報だ。
cut.ass.andwhat1.4,しかも謝罪すらない！
cut.ass.andwhat1.5,まだ気づかれていないと思っていたようだな。
cut.ass.andwhat1.6,どうなるか考えていなかったようだ。
# {0} - insult singular (clown)
cut.ass.andwhat1.7,その上「ねえ、{0}？ どんな気持ち？」なんて抜かしやがる...。

# Additional circumstance for plural target. Will be attached to the end of sentence.
cut.ass.andwhat2.1,しかも奴ら逃げ切れると思ってやがった。
cut.ass.andwhat2.2,その上、奴らが何をやらかしたか聞け、とんでもねえぞ！
# the rest of andwhat2 is used directly from andwhat1

cut.ass.tip,フォトモードを使えば、標的の位置確認や襲撃の計画が立てられます

### Hit Objects Cutscene

cut.hitobj.intro.racer.1,お前の走りって大したことねーな。だから、ちょっと賭けをしようぜ。
cut.hitobj.intro.racer.2,あの多様性担当の副社長から依頼されてる。手伝ってくれるなら報酬は山分けだ。どうよ？
cut.hitobj.intro.racer.3,アンタの走りにはちょっと感心してる。それで、やってみてほしいことがあるんだ。
cut.hitobj.intro.racer.4,ただ走るだけには飽きただろ。賭けでもしようぜ。
cut.hitobj.intro.racer.5,キツめのチャレンジ、やってみる気はないか？
cut.hitobj.intro.racer.6,手を貸してくれ。1人じゃ無理なんだ。

cut.hitobj.intro.gov.pos.1,我々の視聴者はぶっとんだこと大好きでな。だからお前にこれをやってもらう。
cut.hitobj.intro.gov.pos.2,貴様では無理だと言う奴と賭けをしている。奴を見返してみろ。
cut.hitobj.intro.gov.pos.3,ムシャクシャする。気晴らしには、何かが派手に吹っ飛ぶのを見るのが一番いい。
cut.hitobj.intro.gov.pos.4,うちの清掃業者は仕事もしてないのにカネだけ持っていきやがる。そこで、連中に仕事をさせるいい方法を思いついた。
cut.hitobj.intro.gov.pos.5,おい、貴様にピッタリの面白いチャレンジを用意してやったぞ。

# {0} insult plural (clowns)
cut.hitobj.intro.gov.neg.1,この野郎、いい加減にしろよ。貴様ら{0}どもは、いつもフザけた走りばかりしやがる。
cut.hitobj.intro.gov.neg.2,貴様らに回せる資源は限られているんだ。だから、今回は丁寧にお願いしてやろう。
# {0} insult plural (clowns)
cut.hitobj.intro.gov.neg.3,今日の俺はキッチリ仕事をやりたい気分だ。何も壊すなよ、{0}ども。お前ら、丁寧に走れ。

# {0} will be a noun (i.e: cone)
cut.hitobj.req.negative.1,{0}に一切ぶつけるな。
# {0} is a number and {1} is a plural noun (cones)
cut.hitobj.req.negative.2,{1}にぶつけていいのは{0}回までだ。
# {0} is a number and {1} is a plural noun (cones)
cut.hitobj.req.positive,マシンを{1}に{0}回ぶつけるんだ
# I.e. Porta Potties Hit, or John Smith hit
cur.hitobj.req.progress,{0}との衝突回数

# Will be used in "Hit 1 cone", or "Do not hit a single cone"
cut.hitobj.o.traffic_cone,コーン
cut.hitobj.o.porta_potty,仮設トイレ
cut.hitobj.o.bush,茂み
cut.hitobj.o.pedestrian,歩行者
cut.hitobj.o.snowman,雪だるま

# Will be used in "Hit 2 cones", or "Do not hit more than 2 cones"
cut.hitobj.o.traffic_cones,コーン
cut.hitobj.o.porta_potties,仮設トイレ
cut.hitobj.o.bushes,茂み
cut.hitobj.o.pedestrians,歩行者ども
cut.hitobj.o.snowmen,雪だるま

cut.hitobj.tip.neg,絶対にマークされた対象にぶつけないように
cut.hitobj.tip.pos,マークされたオブジェクトをよく見ましょう

# Reward short names
# 12 PTS (short for points, use same as in terms)
cut.rew.short.pts,{0}ポイント
cut.rew.short.next_car,マシン入手
cut.rew.short.aero,空力性能 +1
cut.rew.short.engine,エンジン +1
cut.rew.short.gears,ギア +1
cut.rew.short.turbo,ターボ +1
cut.rew.short.grip,グリップ +1

# Punishment short names
# -12 PTS (short for points, use same as in terms)
cut.pun.short.pts,-{0}ポイント
cut.pun.short.lose_car,マシン喪失
cut.pun.short.aero,空力性能 -1
cut.pun.short.engine,エンジン -1
cut.pun.short.gears,ギア -1
cut.pun.short.turbo,ターボ -1
cut.pun.short.grip,グリップ -1

# Will be used in mid sentence, like: "Hit 4 cones while drifting"
cut.while_drifting,ドリフト中に

cut.short.full_throttle,チャレンジ: フルスロットル
cut.short.tiny_car,チャレンジ: マシン小型化
cut.short.huge_car,チャレンジ: マシン巨大化
cut.short.inv_steer,チャレンジ: ステアリング逆転
cut.short.shield,チャレンジ: バリア
cut.short.weaponize,チャレンジ: 武器を積んだマシン

# Will be used in sentence like "Assassinate John Smith"
cut.assassinate.1,{0}を暗殺
# Will be used in sentence like "Assassinate 3 Hipsters"
cut.assassinate.2,{0}と{1}を暗殺
# Will be used in end of sentence like "Hipsters assassinated", or "John Smith assassinated"
cut.assassinated,{0}の暗殺

### Car Prank mission cutscene

cut.prank.gov.laugh.1,*Laughing out loud*
# {0} - curse word (crap)
cut.prank.gov.laugh.2,あっはっは！ {0}！
# {0} - curse word (crap)
cut.prank.gov.laugh.3,{0}どもめ、マジで笑わせる！
cut.prank.gov.laugh.4,*鼻で笑う*
cut.prank.gov.laugh.5,*笑いをこらえる*
cut.prank.gov.laugh.6,*くすくす笑う*

cut.prank.player.react.1,そうか、そりゃウケるな。

cut.prank.player.react.2,何がおもしろい...？
# {0} will be a government agent name
cut.prank.player.react.3,嫌な予感が...俺には笑えないオチなんだろ、{0}？
# {0} will be a government agent name
cut.prank.player.react.4,で、そのジョークを教えてくれないか、{0}。
cut.prank.player.react.5,前回は、まったく笑えなかったんだが...
cut.prank.player.react.6,これは...なんか嫌な予感がするんだが？


cut.prank.player.react2.1,ふざけんなよ。
cut.prank.player.react2.2,はあ？！
# {0} - plural insult (clowns)
cut.prank.player.react2.3,誰だよそれやったのは？ 名前を出せ！ {0}どもめ、覚悟しろ！
# {0} - curse word (crap)
cut.prank.player.react2.4,うわ、{0}...
# {0} - curse word (crap)
cut.prank.player.react2.5,{0}...
cut.prank.player.react2.6,{0}！
# {0} and {1} - curse word (crap)
cut.prank.player.react2.7,{0}...
cut.prank.player.react2.8,{0}{1}。
cut.prank.player.react2.9,上等じゃねーか！
# {0} - car model
cut.prank.player.react2.10,{0}をキレイにしたばかりだぞ
# When player has no car, he will say "And I just repainted my sneakers"
cut.prank.player.react2.10_2,靴

# {0} - curse word (crap)
cut.prank.tiny_car.1,信じられんぞ、{0}！ 貴様のマシンが！ イタズラでちっさくされちまったんだ。もう乗れないからジョイスティックで操作しろ！ そのケツじゃ入らないしな。傑作だ！
# {0} - random laughter from above
cut.prank.tiny_car.2,研究所の連中が縮小ビームを貴様のマシンで試したらしい。安心しろ、{0}。ラジコン操作はできる。だが、かなり難しくなるな？
cut.prank.tiny_car.3,アントって古い映画、観たことあるかね？ あれを体験することになった。
cut.prank.tiny_car.4,意味がわからんだろうが、ガレージで事故が起きた。誤射した縮小ビームが貴様のマシンを直撃した。ほらリモコンだ、これでちっこいマシンを走らせたまえ。

cut.prank.tiny_car.descr,小さくなった車でレースを完走しろ
cut.prank.tiny_car.tip,普段なら通れない狭い隙間も通過できます

# {0} - curse word (crap)
cut.prank.huge_car.1,信じられんぞ、{0}！ 貴様のマシンが！ でかくされちまった。{0}、いってこい！ このコースじゃ狭すぎて大変だろうがな。傑作だ！
# {0} - random laughter from above
cut.prank.huge_car.2,研究所の連中が物質密度調整ビームを貴様のマシンで試したらしい。安心しろ、{0}。ラジコン操作はできるぞ。
cut.prank.huge_car.3,昔あったゴジラの映画は観たことあるか？ あるよな、貴様はあの時代の人間だからな。とにかく、貴様のマシンは巨大化した。気をつけたまえ
cut.prank.huge_car.4,意味わからんだろうが、ガレージで事故があってな。誤射した粒子密度調整ビームが貴様のマシンを直撃した。頭じゃなかっただけマシだ。ほらリモコンだ、これでバカでかくなったマシンを走らせたまえ。
cut.prank.huge_car.descr,巨大化した車でレースを完走しろ
cut.prank.huge_car.tip,大きいマシンほど、他のマシンに与えるダメージも大きい！

# {0} - crap, {1} - some item (bacon burger)
cut.prank.full_throttle.1,信じられんぞ、{0}！ 貴様のマシンが！ スロットルバルブに{1}を詰め込まれたらしい。貴様がそれでレースに出るとか、腹を抱えて笑うぞ！
# {0} - crap, {1} - some item (bacon burger)
cut.prank.full_throttle.2,{0}！ あのバカども、また貴様のマシンにメチャクチャしたらしいぞ！ 今度はスロットルバルブに{1}を突っ込んだってな。知っているか、ウサギとカメの話は？ ハハハ。
# {0} - clowns, {1} - bacon burger
cut.prank.full_throttle.3,なんてことだ！ あの{0}がスロットルバルブに{1}を詰めやがった。これはどう走りきるのか見ものだ。ツイてるといいな！
# {0} - clowns, {1} - bacon burger
cut.prank.full_throttle.4,こんなことがあるか！ {0}！ スロットルバルブに{1}を詰め込まれたな。そんな状態でレースに出るとか、笑いが止まらんぞ！
cut.prank.full_throttle.5,見習い整備士に貴様のマシンを触らせたんだが、配線をいくつか間違えたかもしれん。ブレーキを確かめておくことだ。*笑いをこらえる*

cut.prank.full_throttle.descr,スロットルが100%全開で固定の状態でレースを完走しろ
cut.prank.full_throttle.tip,ハンドル操作だけに集中し、障害物を回避しよう

# {0} - crap
cut.prank.inv_steer.1,信じられんぞ、{0}！ 貴様のマシンが！ ハンドル操作を逆にされちまった。ハハハッ、そんなのでレースに出るとはな。俺も楽しませてもらうぞ！
cut.prank.inv_steer.2,まあ、気をやむな。見習い整備士に貴様のマシンを触らせたんだが、配線をいくつか間違えたかもしれん。操作が少し変になっているかもな。*笑いをこらえる*

cut.prank.inv_steer.descr,ハンドル操作が反転した状態でレースを完走しろ
cut.prank.inv_steer.tip,いっそ、コントローラを逆さに持つといいかも

### Finish Xth 

cut.fin_x.req.top,トップ{0}位内でゴールしろ
cut.fin_x.req.bottom,{0}位以下でゴールしろ

# {0} - player name or title
cut.fin_x.racer.intro.1,よう {0}！ ちょっとヤバい奴にコネがあってな、そいつが怪しい賭けをしてるんだ。で、要するにレースを八百長しろって脅されてる。
# {0} - player name or title
cut.fin_x.racer.intro.2,{0}、ちょっといいか。あの多様性担当の副社長サマが順位を操作しろって全員を脅してる。悪く思うな、ただ知らせておきたかっただけだ。

cut.fin_x.gov.intro.1,次のレースに少し個人的な賭けをしていてな。協力してもらうからな。
cut.fin_x.gov.intro.2,もう少し長生きしたいか？ ならヘマをするな。
cut.fin_x.gov.intro.3,急で悪いが、次のレースは八百長だ。ワケは聞くな。やるべきことをやれ。

cut.fin_x.tip,右上の順位マーカーをよく確認しましょう

cut.fin_x.descr1,トップ{0}位内でゴール
cut.fin_x.descr2,{0}位以下でゴール

### Take Damage 

# {0} - a number
cut.dmg.req,マシンに{0}以上のダメージを受けろ

cut.dmg.racer.intro.1,昨日の夜タイヤに穴開けたのはお前か！？ まあいい、このチャレンジをやったら見逃してやる。上手くやりゃ、ちょっとしたオマケもつけてやるかもな

# {0} - friggin
cut.dmg.gov.intro.1,ちょうどいいところに来たな！ ブラッディ・ラリー・ショーの新しいポスターが要る。お前の車がピッタリだ。だが、条件がある。"まさに{0}アクション直後"って感じでないとダメだ。分かるか？
cut.dmg.gov.intro.2,そのピカピカの塗装、素晴らしい。実に素晴らしい。さて、次のチャレンジだが... *くっくっく*
# {0} - player name or title
cut.dmg.gov.intro.3,{0}。お前のことは、前から気に食わなかった。だからとっておきの嫌がらせを用意してやったぞ。

cut.dmg.stay_alive.1,ついでで死ぬなよ
# {0} - clown
cut.dmg.stay_alive.2,ついでで死ぬなよ、{0}

cut.dmg.tip,一番手っ取り早いのは、障害物や爆発物に突っ込むことです

cut.dmg.descr,{0}ダメージを受けろ
cut.dmg.progress,被ダメージ

### Stay on track

# {0} - brace stone character's name
cut.on_track.racer.intro.1,{0}と賭けをしている。貴様ごときが一度もコースアウトせずに完走できるわけがないと言ってやがる。奴の言った通りなら結構なカネを失うかもな。慎重に走れよ！

# {0} - some racer name
cut.on_track.gov.intro.1,{0}と賭けをしているんだ。お前ってコース上に留まれないって言われてるぞ。まあ俺もそう思うんだけど...今日はツイてる気がしてお前に50万賭けたんだ。絶対にヘマしないでくれよ！
# {0} - Clowns
cut.on_track.gov.intro.2,我々の園芸師が１日かけて花を植えてるのに、貴様ら{0}ときたら台無しにしやがる！ 今回はちゃんとコース内を走れ！

cut.on_track.descr,コースアウトした際、{0}秒以上コース外を走るな
cut.on_track.tip,カーブで無理せず減速すれば大丈夫です！

### Be a pedestrian 

cut.ped.req.1,ああ、それと徒歩でぶらついてるときに至近距離でマシンの写真を1枚撮ってこい。いい感じで頼むぞ。
# {0} - a number
cut.ped.req.2,ああ、それと徒歩でぶらついてるときに至近距離でマシンの写真を{0}枚撮ってこい。いい感じで頼むぞ。

# {0} - clown, {1} - vegan olive oil, {2} - fool
cut.ped.racer.intro.1,おい、{0}、聞いて驚け。ついに俺のサンルーフに汚物をぶち込んだ犯人が分かったぞ。そろそろツケを払ってもらわないとな。テメェのガソリンタンクに{1}をぶち込んでおいてやったぜ。燃料系は洗浄が必要だろうよ。残念だがレースには間に合わねえよ、{2}！

# {0} - vegan olive oil
cut.ped.gov.intro.1,気を病まずに、まずは聞け。我々はオトナ向けの動画を撮影していた。ちょうど貴様がこのステージ用に用意したマシンは、5人とカメラマンが乗れるピッタリのサイズだったわけだ。さらに{0}で散らかしてしまったが、心配しなくていい、後でちゃんと片付けさせよう！
cut.ped.gov.intro.2,ほう？ 権力者に喧嘩を売って勝てるとでも思っていたか？ バカが、数日間は歩行者としてレースに出てもらうぞ。マシンも没収だ。今回のことをよく覚えておけ！
# {0} - clown
cut.ped.gov.intro.3,そんな小細工で逃げ切れると思ったのか、このチンケな{0}が？ 貴様のマシンはしばらく預かる。次にやってみろ、後悔させてやる！
# {0} - clown
cut.ped.stay_alive.1,ああ、ついでで生き残れ、{0}。
# {0} - clown
cut.ped.stay_alive.2,あと、ついでにくたばるな、{0}。

cut.ped.descr,歩行者としてレースに参加しろ
cut.ped.tip,コースには近づきすぎないように！

# {0} - a number
cut.ped.descr1,至近距離でマシンの写真を1枚撮ろう
cut.ped.descr2,至近距離でマシンの写真を{0}枚撮ろう
cut.ped.progress1,写真を撮影した
# {0} - a number
cut.ped.progress2,写真を{0}枚撮影

### Your car stolen 

cut.stolen.racer.intro.1,悪い知らせだ、よく聞け。馬鹿な奴が貴様の愛車を盗んで走り去るのを目撃した。保険に入っていればいいが。で、次のレースは徒歩で参加するしかないぞ。

cut.stolen.gov.intro.1,「グランド・セフト・オート」という100年前のゲームはご存知かね？ さて、誰かが文字通り君の愛車でそれをやった。というわけで、今回は自分の足で歩いてもらう。保険に入ってなかったらウケるよな。

cut.stolen.stay_alive.1,命を大切にするんだな
cut.stolen.stay_alive.2,死なないように気をつけることだ

cut.stolen.descr,マシンが盗まれた
cut.stolen.tip,新しいマシンのためにお金を貯めておきましょう

### Locked camera

# {0} - "do not change camera settings!"
cut.cam.req.1,何があっても{0}
cut.cam.req.2,どんな困難だろうと{0}
cut.cam.req.3,何が起きても{0}
cut.cam.req.4,度胸があるなら{0}
cut.cam.req.5,ゲロ袋を用意してやったぞ。{0}
cut.cam.req.6,吐きたいなら窓を開けてもいいが、{0}.
cut.cam.req.end,カメラ設定は変更するな！

cut.cam.racer.intro.1,新たな楽しいチャレンジだ。視点ドローンを気に入らないように再設定してやる。
# {0} - clown
cut.cam.racer.intro.2,昨晩はよく眠れなかったんでな。視点ドローンをいじってやった。なぜかだと？ 貴様が{0}だからだ！
# {0} - clown
cut.cam.racer.intro.3,勝負だ！ 視点ドローンの位置を不快な状態に調整してやった。先に諦めた方が{0}ってわけだ！

# {0} - clown
cut.cam.gov.intro.1,{0}が。ちょっと来い。視覚ドローンの設定について視聴者から苦情だ。視聴者の希望通りに調整してやったぞ、いいな？
# {0} - damn, {1} - clowns
cut.cam.gov.intro.2,{0}が！ 視覚ドローンの設定を貴様がいじり続けるせいでイライラする。他の{1}みたいに、設定を固定しておけないのか？
cut.cam.gov.intro.3,紳士、淑女の皆様、ゲロ袋のご用意は出来ましたか。視覚ドローンが故障しました。さあ、技術者たちは修理されるまで設定をいじらないようにお望みだ。

cut.cam.descr,カメラ設定を変更せずにレースを完走しろ
cut.cam.tip,今のカメラ設定で走るよりペナルティをくらう方がマシに思えるなら、設定を変えてしまおう！

cut.cam.shortdescr,カメラの設定を変更するな

### Distribute Spam

# {0} - a number
cut.spam.req,少なくとも{0}セットのチラシをバラまいてくれ

cut.spam.racer.intro.1,シーッ...これは内緒にしてくれ。お願いがある。我々はSOFACTに対抗する活動を秘密裏にやってるんだ。できるだけ多くの人にこの運動に参加してほしい。もし君が広める手伝いをしてくれたら、我々にとって本当に大きな成果となるだろう！

# {0} - vegan olive oil
cut.spam.gov.intro.1,我々は新しいプロパガンダで{0}が体にいいということを広めたい。そこで、君の愛車の上にプリンターを取り付けた。さあ、使いたまえ。
# {0} - bacon burgers
cut.spam.gov.intro.2,{0}に関する研究結果をでっちあげて、奴らに読ませたい。貴様の愛車の上にプリンターを溶接しておいた。次のレースで使うといい。

# Do not modify {Action.Fire}
cut.spam.tip,{Action.Fire}を押しまくってチラシをバラまけ

cut.spam.descr,{0}セットのチラシを配布しろ
cut.spam.prog,配布したチラシ

### Weaponize

cut.weaponize.req,全員に武器を渡した。これはメチャクチャになるぞ、最高だな！

cut.weaponize.gov.intro.1,最近ブラッディ・ラリー・ショーの視聴者どもは退屈してるらしいな。少しばかり刺激を加えてやろう。
# {0} - clowns
cut.weaponize.gov.intro.2,ほう？塗装したてのマシンばかりじゃないか{0}ども。次のレースで無傷でいられると思うなよ。

cut.weaponize.descr,武器を積んだマシンでレースを完走しろ
cut.weaponize.tip,今回は歩行者じゃなくてよかった！

### Campaign Win (Freedom)

# {0} - racer name
cut.freedom.1,よお {0}、自由の身だな！ もう行ってしまうのか？ 寂しくなる。もう１シーズンだけでも残らないか？
# {0} - car model name
cut.freedom.2,ありがとう。でも、もうクタクタだ。{0}の血を洗い落としたい...
# {0} - he or she, depending on player gender (see term.he / term.she)
